key,value
manual.authorValidation.authorTrainingAndSidekickVerified,
manual.authorValidation.authorWorkflowValidatedInDocsSheets,
manual.authorValidation.blockUsabilityReviewComplete,
manual.authorValidation.documentToWebRenderingValidated,
manual.performance.cdnCachingStrategyValidated,
manual.performance.rumMonitoringAndAlertsConfigured,
manual.performance.aboveTheFoldLoadsWithin2500ms,
manual.accessibility.screenReaderTestingComplete,
manual.accessibility.keyboardOnlyNavigationTested,
manual.accessibility.axeWaveToolsRunAndRemediated,
manual.i18n.rtlLayoutVerified,
manual.i18n.textExpansionDoesNotBreakLayout,
manual.i18n.localeFormattingCorrect,
manual.architectureReview.designTokensMatchFigma,
manual.architectureReview.webfontStrategyReviewed,
manual.preGoLive.cdnCachingAndDnsFinalized,
manual.preGoLive.deploymentAndRollbackPlanCreated,
manual.preGoLive.previewAndLiveDomainValidated,
manual.preGoLive.finalE2eSmokeLoadTestingComplete,
manual.preGoLive.seoLaunchReadinessVerified,
manual.postGoLive.centralizedLoggingAndAlertsConfigured,
manual.postGoLive.cwvRumCdnMonitoringSetup,
manual.postGoLive.authorSupportAndHelpdeskEstablished,
manual.postGoLive.incidentResponseAndSlasDefined,
manual.postGoLive.seoIndexingAndAnalyticsMonitored,
manual.postGoLive.continuousImprovementPlanInPlace,
manual.governance.projectManagementToolActivelyUsed,
manual.governance.codeReviewProcessWithSlaDefined,
manual.governance.qaEnvironmentMirrorsProduction,
manual.governance.genAiGovernancePolicyDocumented,
risk.discovery,
risk.contentQuality,
risk.internationalization,
risk.design,
risk.userExperience,
risk.visualDesign,
risk.setup,
risk.development,Medium
risk.architectureReview,
risk.testing,
risk.security,Medium
risk.performance,High
risk.accessibility,Medium
risk.authorValidation,
risk.preGoLive,
risk.postGoLive,
risk.processGovernance,Low
status.ragRating,Amber
status.goLiveReady,No
status.mandatoryPassRate,72.4
status.criticalPassRate,58.3
status.highPassRate,75
status.totalBlockingIssues,45
trend.totalIssues,52
trend.criticalIssues,20
trend.overallCompliance,68.7
trend.accessibilityCompliance,72.7
trend.performanceCompliance,50
trend.securityCompliance,69.6
trend.developmentCompliance,77.6
topIssues.count,10
topIssues.1.auditType,Code Audit
topIssues.1.phase,Development
topIssues.1.group,HTML Semantics & Structure
topIssues.1.subGroup,Semantics
topIssues.1.severity,Critical
topIssues.1.mandatory,Yes
topIssues.1.description,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged
topIssues.1.evidence,blocks/hero/hero.js
topIssues.2.auditType,Code Audit
topIssues.2.phase,Development
topIssues.2.group,HTML Forms & Inputs
topIssues.2.subGroup,Forms
topIssues.2.severity,Critical
topIssues.2.mandatory,Yes
topIssues.2.description,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters
topIssues.2.evidence,blocks/form/util.js
topIssues.3.auditType,Code Audit
topIssues.3.phase,Development
topIssues.3.group,HTML Forms & Inputs
topIssues.3.subGroup,Forms
topIssues.3.severity,Critical
topIssues.3.mandatory,Yes
topIssues.3.description,Accessible names for interactive elements
topIssues.3.evidence,blocks/embed-form/embed-form.js
topIssues.4.auditType,Code Audit
topIssues.4.phase,Development
topIssues.4.group,HTML Metadata & Validation
topIssues.4.subGroup,IDs
topIssues.4.severity,Critical
topIssues.4.mandatory,Yes
topIssues.4.description,No duplicate IDs
topIssues.4.evidence,blocks/form/components/repeat/repeat.js
topIssues.5.auditType,Code Audit
topIssues.5.phase,Development
topIssues.5.group,HTML Metadata & Validation
topIssues.5.subGroup,Validation
topIssues.5.severity,Critical
topIssues.5.mandatory,Yes
topIssues.5.description,HTML validates without errors
topIssues.5.evidence,package.json
topIssues.6.auditType,Code Audit
topIssues.6.phase,Development
topIssues.6.group,CSS Architecture & Tokens
topIssues.6.subGroup,Design Tokens
topIssues.6.severity,Critical
topIssues.6.mandatory,Yes
topIssues.6.description,No hardcoded hex/rgb color values
topIssues.6.evidence,blocks/form/form.css
topIssues.7.auditType,Code Audit
topIssues.7.phase,Accessibility
topIssues.7.group,Accessibility - WCAG Core
topIssues.7.subGroup,WCAG Core
topIssues.7.severity,Critical
topIssues.7.mandatory,Yes
topIssues.7.description,WCAG 2.1 AA compliance met
topIssues.7.evidence,blocks/form/util.js
topIssues.8.auditType,Code Audit
topIssues.8.phase,Security
topIssues.8.group,Security - Client-Side Code
topIssues.8.subGroup,Scripts
topIssues.8.severity,Critical
topIssues.8.mandatory,Yes
topIssues.8.description,No unsanitized user input in innerHTML or dangerous sinks
topIssues.8.evidence,blocks/header/header.js
topIssues.9.auditType,Code Audit
topIssues.9.phase,Security
topIssues.9.group,Security - Data & Secrets
topIssues.9.subGroup,Secrets
topIssues.9.severity,Critical
topIssues.9.mandatory,Yes
topIssues.9.description,No hardcoded API keys or secrets in source
topIssues.9.evidence,blocks/location/location.js
topIssues.10.auditType,Code Audit
topIssues.10.phase,Security
topIssues.10.group,Security - Dependencies
topIssues.10.subGroup,Dependencies
topIssues.10.severity,Critical
topIssues.10.mandatory,Yes
topIssues.10.description,No known vulnerable dependencies (npm audit / Snyk)
topIssues.10.evidence,package-lock.json
components.count,5
components.1.name,package.json
components.1.path,package.json
components.1.failedChecks,8
components.1.criticalFailures,5
components.1.healthScore,27
components.2.name,embed-video.js
components.2.path,blocks/embed-video/embed-video.js
components.2.failedChecks,3
components.2.criticalFailures,0
components.2.healthScore,0
components.3.name,hero.js
components.3.path,blocks/hero/hero.js
components.3.failedChecks,2
components.3.criticalFailures,1
components.3.healthScore,91
components.4.name,util.js
components.4.path,blocks/form/util.js
components.4.failedChecks,2
components.4.criticalFailures,2
components.4.healthScore,85
components.5.name,media-module.js
components.5.path,blocks/media-module/media-module.js
components.5.failedChecks,2
components.5.criticalFailures,0
components.5.healthScore,0
