key,value
topIssues.5.description,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detecte
topIssues.5.evidence,head.html
topIssues.6.auditType,Code Audit
topIssues.6.phase,Development
topIssues.6.group,HTML Metadata & Validation
topIssues.6.subGroup,IDs
topIssues.6.severity,Critical
topIssues.6.mandatory,Yes
topIssues.6.description,No duplicate IDs
topIssues.6.evidence,blocks/help-me-choose/help-me-choose.js
topIssues.7.auditType,Code Audit
topIssues.7.phase,Development
topIssues.7.group,HTML Metadata & Validation
topIssues.7.subGroup,Validation
topIssues.7.severity,Critical
topIssues.7.mandatory,Yes
topIssues.7.description,No invalid HTML nesting
topIssues.7.evidence,package.json
topIssues.8.auditType,Code Audit
topIssues.8.phase,Development
topIssues.8.group,HTML Metadata & Validation
topIssues.8.subGroup,Validation
topIssues.8.severity,Critical
topIssues.8.mandatory,Yes
topIssues.8.description,HTML validates without errors
topIssues.8.evidence,package.json
topIssues.9.auditType,Code Audit
topIssues.9.phase,Development
topIssues.9.group,CSS Architecture & Tokens
topIssues.9.subGroup,Design Tokens
topIssues.9.severity,Critical
topIssues.9.mandatory,Yes
topIssues.9.description,CSS variables used for all colors
topIssues.9.evidence,blocks/article-card/article-card.css
topIssues.10.auditType,Code Audit
topIssues.10.phase,Development
topIssues.10.group,CSS Architecture & Tokens
topIssues.10.subGroup,Design Tokens
topIssues.10.severity,Critical
topIssues.10.mandatory,Yes
topIssues.10.description,No hardcoded hex/rgb color values
topIssues.10.evidence,blocks/hero-banner/hero-banner.css
components.count,5
components.1.name,package.json
components.1.path,package.json
components.1.failedChecks,12
components.1.criticalFailures,5
components.1.healthScore,14
components.2.name,product-listing.js
components.2.path,blocks/product-listing/product-listing.js
components.2.failedChecks,8
components.2.criticalFailures,0
components.2.healthScore,20
components.3.name,head.html
components.3.path,head.html
components.3.failedChecks,8
components.3.criticalFailures,4
components.3.healthScore,27
components.4.name,header.js
components.4.path,blocks/header/header.js
components.4.failedChecks,8
components.4.criticalFailures,4
components.4.healthScore,38
components.5.name,product-card.js
components.5.path,blocks/product-card/product-card.js
components.5.failedChecks,6
components.5.criticalFailures,1
components.5.healthScore,40
